authorID,Name,
100,Mark P. O. Morford,
101,Richard Bruce Wright,
102,Carlo D'Este,
103,Gina Bari Kolata,
104,E. J. W. Barber,
105,Amy Tan,
106,Robert Cowley,
107,Scott Turow,
108,David Cordingly,
109,Ann Beattie,
110,David Adams Richards,
111,Adam Lebor,
112,Sheila Heti,
113,R. J. Kaiser,
114,Jack Canfield,
115,Loren D. Estleman,
116,Robert Hendrickson,
117,Julia Oliver,
118,John Grisham,
119,Toni Morrison,
120,The Onion,
121,Celia Brooks Brown,
122,J. R. Parrish,
123, Ashley ,
124,Robynn Clairday,
125,Kathleen Duey,
126,Rich Shapero,
127,Michael Crichton,
128,MICHAEL CRICHTON,
129,C.S. Lewis,
130,ARTHUR PHILLIPS,
131,Stephan Jaramillo,
132,Mordecai Richler,
133,Eleanor Cooney,
134,Charlotte Link,
135,Richard North Patterson,
136,Mark Salzman,
137,Harper Lee,
138,LAURA HILLENBRAND,
139,Barbara Kingsolver,
140,Jo Dereske,
141,Jane Austen,
142,Dolores Krieger,
143,Anne Rivers Siddons,
144,Dean R. Koontz,
145,Mary Higgins Clark,
146,Dean Koontz,
147,Patricia Cornwell,
148,J.D. Robb,
149,Maeve Binchy,
150,Laura J. Mixon,
151,Tim Lahaye,
152,JOHN GRISHAM,
153,M.D. Bernie S. Siegel,
154,Robert Penn Warren,
155,Hans Johannes Hoefer,
156,Mark Helprin,
157,O. Carol Simonton Md,
158,Chuck Hill,
159,David Iglehart,
160,Larry McMurtry,
161,SUZANNE FISHER STAPLES,
162,Michel Tournier,
163,Carl Sagan,
164,Aleksandr Zinoviev,
165,Anne Tyler,
166,Joseph Conrad,
167,Deepak Chopra,
168,Thomas Hardy,
169,Charles Noland,
170,Valerie Frankel,
171,Benjamin Hoff,
172,Niccolo Machiavelli,
173,H. Jackson Brown,
174,Robert A. Heinlein,
175,PHILIP PULLMAN,
176,Anna Sewell,
177,MICHAEL ONDAATJE,
178,Sandra Levy Ceren,
179,P.J. O'Rourke,
180,Mike Gayle,
181,Stel Pavlou,
182,Sarah Payne Stuart,
183,Dan Quayle,
184,Donald F. Kettl,
185,DAVID FRUM,
186,Louis Lamour,
187,J.D. Salinger,
188,J. R. R. Tolkien,
189,John Berendt,
190,Jennifer Crusie,
191,Jane Heller,
192,Michael Rips,
193,Simon Mawer,
194,William Abrahams,
195,Robert T. Kiyosaki,
196,Ken Follett,
197,John F. Love,
198,Robert G. Allen,
199,LOUIS DE BERNIERES,
200,Pam Proctor,
201,Mitch Albom,
202,Irene Gonzalez Frei,
203,Michael Jan Friedman,
204,Glendon Swarthout,
205,Neal Barrett Jr.,
206,David Morrell,
207,Sandra Brown,
208,James Patterson,
209,Stuart Woods,
210,IRIS JOHANSEN,
211," Demons""",
212,Joe Hutsko,
213,Anita Shreve,
214,Ann Rule,
215,LEWIS GRIZZARD,
216,Paul Theroux,
217,Lewis Grizzard,
218,Charles Hickey,
219,Stephen King,
220,Ben Mezrich,
221,Bill Hand,
222,Tom Clancy,
223,DANA REEVE,
224,Roy,
225,Barbara Metzger,
226,Gabriel Garcia Marquez,
227,Rebecca Wells,
228,Tony Hillerman,
229,Robert James Waller,
230,Rachel Harris,
231,IAN MCEWAN,
232,Michael Lewis,
233,Richard Zimler,
234,Norman Jetmundsen,
235,Lorenzo Carcaterra,
236,Anne Frasier,
237,Kay Hooper,
238,Soren Kierkegaard,
239,Jose Ortega Y Gaset,
240,Daphne Du Maurier,
241,Nathaniel Hawthorne,
242,Nick Page,
243,Laura Wolf,
244,LOIS DUNCAN,
245,Susan Grant,
246,Barbara Vine,
247,Shirley Rousseau Murphy,
248,Jane Lindskold,
249,Betty Smith,
250,Cybill Shepherd,
251,Stewart O'Nan,
252,David Baldacci,
253,Douglas Adams,
254,Mary Lawson,
255,Willa Cather,
256,Olivia Goldsmith,
257,Helen Fielding,
258,Franklin W. Dixon,
259,Lilian Jackson Braun,
260,Holly Virden,
261,H. Norman Wright,
262,Piers Anthony,
263,RAY BRADBURY,
264,Schiller,
265,Ray Bradbury,
266,Raymond Chandler,
267,Paolo Coelho,
268,Fay Weldon,
269,Arabella Weir,
270,Kiana Davenport,
271,Sue Townsend,
272,Renan Demirkan,
273,Michael Moore,
274,Jonathan Franzen,
275,Jerome D. Salinger,
276,James Joyce,
277,Joanna Trollope,
278,Milan Kundera,
279,Arundhati Roy,
280," Stevie Marriner Novel""",
281,Lorna Landvik,
282,Arthur Golden,
283,KENT HARUF,
284,Patricia D. Cornwell,
285,Carol J. Farley,
286,Kathleen E. Woodiwiss,
287,Belva Plain,
288,MARK HADDON,
289,ANN BRASHARES,
290,Erich Segal,
291,Elizabeth Adler,
292,Nicholas Sparks,
293,JOHN SAUL,
294,LORNA LANDVIK,
295,Steve Thayer,
296,Tracy Chevalier,
297,Judith Kelman,
298,Michael Palmer,
299,Francine Hughes,
300,Norman Bridwell,
301,Dan Brown,
302,Frank McCourt,
303,Malachy McCourt,
304,Mari Sandoz,
305,Anne Perry,
306,ALEXANDER MCCALL SMITH,
307,Gregory Maguire,
308,Yann Martel,
309,Ruth Rendell,
310,Al Franken,
311,DONNA TARTT,
312,John Milne,
313,Terry Pratchett,
314,E. B. White,
315,J. M. Barrie,
316,Mary O'Hara,
317,Louise Rennison,
318,Kenneth Grahame,
319,Bernard Cornwell,
320,Charles de Lint,
321,Edward John Moreton Drax Plunkett Dunsany,
322,Georgette Heyer,
323,OSCAR WILDE,
324,Ted Hughes,
325,ROALD DAHL,
326,Donna Jo Napoli,
327,A. S. Byatt,
328,Tanuja Desai Hidier,
329,SOPHIE KINSELLA,
330,Isabel Wolff,
331,Louisa May Alcott,
332,George Orwell,
333,Charles Dickens,
334,Isabel Allende,
335,Ellen Datlow,
336," Insects : Two Novellas""",
337,Joseph Heller,
338,John Galsworthy,
339,Enid Blyton,
340,Neil Gaiman,
341,Alan Moore,
342,Trudy Suggs,
343,Tom Wolfe,
344,Brady Udall,
345,Homer Hickam,
346,Pearl Abraham,
347,Sebastian Junger,
348,Karen Armstrong,
349,Mary Barnard,
350,David Brin,
351,T. Coraghessan Boyle,
352,Paul Woodruff,
353,Lynda Madaras,
354,Stephen McCauley,
355,Isabelle Holland,
356,Pam Conrad,
357,Lurlene McDaniel,
358,Brian Kaufman,
359,John Darnton,
360,Martin Schenk,
361,DAVID EDDINGS,
362,Paul Reiser,
363,David G. Hartwell,
364,Dave Barry,
365,John R. Holt,
366,Theodore Beale,
367,Frank M. Robinson,
368,Mary Jane Clark,
369,Mary Wollstonecraft Shelley,
370,Isabel-Clara Simó,
371,Robert Westall,
372,Robert B. Parker,
373,Rita Chapman Works,
374,A. Manette Ansay,
375,Sarah Waters,
376,Anne Frank,
377,Barry Lopez,
378,Greg Palast,
379,Andrea Kane,
380,Nevada Barr,
381,Paul Auster,
382,Margaret Maron,
383,EDNA BARKER,
384,Muriel Whitaker,
385,John Irving,
386,Golding,
387,HarperReference,
388,LTD,
389,Ann Patchett,
390,Roald Dahl,
391,Sue Monk Kidd,
392,Bob Thiele,
393,Colleen McCullough,
394,Joanne Harris,
395,Thomas Cahill,
396,Michael Hudson,
397,Jane Smiley,
398,Dick Francis,
399,Nora Roberts,
400,Jean Marzollo,
401,Walter Wick,
402,Barbara Delinsky,
403,P. D. James,
404,Arthur William Upfield,
405,Christopher Rice,
406,Rex Stout,
407,Joan Anderson,
408,Vance Havner,
409,Warren W. Wiersbe,
410,Max Lucado,
411,Lawrence J Crabb,
412,Barry Neil Kaufman,
413,Bob Sjogren,
414,Frederick J. Moody,
415,Neal Pirolo,
416,William Sleator,
417,Antoine de Saint-Exupéry,
418,Richard Bach,
419,Kevin Sullivan,
420,Michele Morgan,
421," Brews (Llewellyn's Practical Magick)""",
422, Magickal Systems of the World : The Key of It All," Book II (Key of It All)"""
423,Richard Webster,
424,Bernard King,
425,Pat Hutchins,
426,William Shakespeare,
427,Melissa McClone,
428,Cheryl St. John,
429,Lewis Carroll,
430,Mark Twain,
431,Dog Mary Crow,
432,Linda Gordon,
433,Florence King,
434,Alice Sebold,
435,Spalding Gray,
436,Thomas Harris,
437,EDWARD RUTHERFURD,
438,Margaret Atwood,
439,Dorothy Allison,
440,MAYA ANGELOU,
441,Edith Wharton,
442,Mary Brave Bird,
443,John G. Neihardt,
444,Roland Warren,
445,Johnny Molloy,
446,James McCourt,
447,Elizabeth Wurtzel,
448,Bill Bradley,
449,Don Miguel Ruiz,
450,Luis Racionero,
451,Eugeni Perea Simón,
452,Thomas Hauser,
453,Vicenç Villatoro,
454,Víctor Mora,
455,Elena Castedo,
456,Ofèlia Dracs,
457,Antoni Serra,
458,M. Carme Junyent,
459,Jaume Capó,
460,Màrius Serra,
461,Ferran Torrent,
462,Joan Agut,
463,Carmen Rico-Godoy,
464,Maria Jaén,
465,Paul Lester,
466,Leo Tolstoy,
467,Simon Nye,
468,Robert A Johnson,
469,Horacio Vazquez-Rial,
470,Marc Gascoigne,
471,Stephanie Maze,
472,Sandra Dallas,
473,Anne McCaffrey,
474,David Gemmell,
475,Laura Zigman,
476,Margaret Truman,
477,Nic Kynaston,
478,Paula Danziger,
479,Richard A. Lupoff,
480,Carrie Bebris,
481,Ellen Carol Dubois,
482,Candice F. Ransom,
483," Mrs. Levine: An Excruciating Correspondence""",
484,Donna K Grosvenor,
485,NATHANIEL HAWTHORNE,
486,Valerie Block,
487,Luanne Rice,
488,Ellen Gilchrist,
489,JOHN IRVING,
490,TIM GAUTREAUX,
491,Richard Russo,
492,Jostein Gaarder,
493,ANNA QUINDLEN,
494,Diane Johnson,
495,DEAN KOONTZ,
496,Wally Lamb,
497,Adeline Yen Mah,
498,Barbara Ehrenreich,
499,DOROTHY DUNNETT,
500,JOHN LE CARRE,
501,A. C. Gordon,
502,Emily Dickinson,
503,Hazel Harrison,
504,Joseph Girzone,
505,JOSEPH GIRZONE,
506,Lorraine Anderson,
507,AD HUDLER,
508,Josephine Carlton,
